month_of_delay,hbt,age_group,number_of_delayed_bed_days,average_daily_number_of_delayed_beds
2017-09-01,S08000017,18plus,995,33
2017-09-01,S08000017,18-74,205,7
2017-09-01,S08000017,75plus,790,26
2017-09-01,S08000019,18plus,2499,83
2017-09-01,S08000019,18-74,593,20
2017-09-01,S08000019,75plus,1906,64
2017-09-01,S08000020,18plus,3408,114
2017-09-01,S08000020,18-74,946,32
2017-09-01,S08000020,75plus,2462,82
2017-09-01,S08000022,18plus,3548,118
2017-09-01,S08000022,18-74,814,27
2017-09-01,S08000022,75plus,2734,91
2017-09-01,S08000024,18plus,10123,337
2017-09-01,S08000024,18-74,2922,97
2017-09-01,S08000024,75plus,7201,240
2017-09-01,S08000025,18plus,134,4
2017-09-01,S08000025,18-74,55,2
2017-09-01,S08000025,75plus,79,3
2017-09-01,S08000026,18plus,77,3
2017-09-01,S08000026,18-74,36,1
2017-09-01,S08000026,75plus,41,1
2017-09-01,S08000028,18plus,493,16
2017-09-01,S08000028,18-74,77,3
